family,n_mu_levels,mu_tokens,increment,md5_wire_block,odb_paths
1020_2a_24_rd_1000_cal_0_v_20,3,0100 025 050,5190240,4d572bc7d3,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_0_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_0_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_0_v_20_f_050.odb
1020_2a_24_rd_1000_cal_100_v_20,3,0100 025 050,5913855,70ad775b8e,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_100_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_100_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_100_v_20_f_050.odb
1020_2a_24_rd_1000_cal_10_v_20,3,0100 025 050,5254104,a46cfd67f3,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_10_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_10_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_10_v_20_f_050.odb
1020_2a_24_rd_1000_cal_10_v_5,3,0100 025 050,16416815,08200f94e0,E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1000_cal_10_v_5_f_0100.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1000_cal_10_v_5_f_025.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1000_cal_10_v_5_f_050.odb
1020_2a_24_rd_1000_cal_30_v_20,3,0100 025 050,5415798,9c3665a271,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_30_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_30_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_30_v_20_f_050.odb
1020_2a_24_rd_1000_cal_30_v_5,3,0100 025 050,16888456,db0c6d118c,E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1000_cal_30_v_5_f_0100.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1000_cal_30_v_5_f_025.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1000_cal_30_v_5_f_050.odb
1020_2a_24_rd_1000_cal_50_v_20,3,0100 025 050,5561732,86e6826724,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_50_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_50_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_50_v_20_f_050.odb
1020_2a_24_rd_1000_cal_50_v_5,3,0100 025 050,17332281,7fcb9a9086,E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1000_cal_50_v_5_f_0100.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1000_cal_50_v_5_f_025.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1000_cal_50_v_5_f_050.odb
1020_2a_24_rd_1000_cal_75_v_20,3,0100 025 050,5729941,a351eaa03a,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_75_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_75_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1000_cal_75_v_20_f_050.odb
1020_2a_24_rd_1000_cal_75_v_5,3,0100 025 050,17891236,29d4a294fb,E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1000_cal_75_v_5_f_0100.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1000_cal_75_v_5_f_025.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1000_cal_75_v_5_f_050.odb
