job,Q,k,alpha,mu_token,v,r_max_mm,z_max_mm,increment,odb_path
1020_2a_32_rd_1000_cal_0_v_10_fric_0100,0.1,0.0,16.0,0100,10.0,18.001,124.1,4162549,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_0_v_10_fric_0100.odb
1020_2a_32_rd_1000_cal_0_v_10_fric_025,0.1,0.0,16.0,025,10.0,18.001,124.1,4162549,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_0_v_10_fric_025.odb
1020_2a_32_rd_1000_cal_0_v_10_fric_050,0.1,0.0,16.0,050,10.0,18.001,124.1,4162549,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_0_v_10_fric_050.odb
1020_2a_32_rd_1000_cal_100_v_10_fric_0100,0.1,1.0,16.0,0100,10.0,18.001,126.6,4723510,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_100_v_10_fric_0100.odb
1020_2a_32_rd_1000_cal_100_v_10_fric_025,0.1,1.0,16.0,025,10.0,18.001,126.6,4723510,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_100_v_10_fric_025.odb
1020_2a_32_rd_1000_cal_100_v_10_fric_050,0.1,1.0,16.0,050,10.0,18.001,126.6,4723510,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_100_v_10_fric_050.odb
1020_2a_32_rd_1000_cal_10_v_10_fric_0100,0.1,0.1,16.0,0100,10.0,18.0,124.4,4216262,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_10_v_10_fric_0100.odb
1020_2a_32_rd_1000_cal_10_v_10_fric_025,0.1,0.1,16.0,025,10.0,18.0,124.4,4216262,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_10_v_10_fric_025.odb
1020_2a_32_rd_1000_cal_10_v_10_fric_050,0.1,0.1,16.0,050,10.0,18.0,124.4,4216262,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_10_v_10_fric_050.odb
1020_2a_32_rd_1000_cal_30_v_10_fric_0100,0.1,0.3,16.0,0100,10.0,18.0,124.9,4324102,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_30_v_10_fric_0100.odb
1020_2a_32_rd_1000_cal_30_v_10_fric_025,0.1,0.3,16.0,025,10.0,18.0,124.9,4324102,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_30_v_10_fric_025.odb
1020_2a_32_rd_1000_cal_30_v_10_fric_050,0.1,0.3,16.0,050,10.0,18.0,124.9,4324102,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_30_v_10_fric_050.odb
1020_2a_32_rd_1000_cal_50_v_10_fric_0100,0.1,0.5,16.0,0100,10.0,18.0,125.4,4448186,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_50_v_10_fric_0100.odb
1020_2a_32_rd_1000_cal_50_v_10_fric_025,0.1,0.5,16.0,025,10.0,18.0,125.4,4448186,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_50_v_10_fric_025.odb
1020_2a_32_rd_1000_cal_50_v_10_fric_050,0.1,0.5,16.0,050,10.0,18.0,125.4,4448186,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_50_v_10_fric_050.odb
1020_2a_32_rd_1000_cal_75_v_10_fric_0100,0.1,0.75,16.0,0100,10.0,18.0,126.0,4579652,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_75_v_10_fric_0100.odb
1020_2a_32_rd_1000_cal_75_v_10_fric_025,0.1,0.75,16.0,025,10.0,18.0,126.0,4579652,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_75_v_10_fric_025.odb
1020_2a_32_rd_1000_cal_75_v_10_fric_050,0.1,0.75,16.0,050,10.0,18.0,126.0,4579652,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_75_v_10_fric_050.odb
1020_2a_32_rd_1500_cal_0_v_10_fric_0100,0.15,0.0,16.0,0100,10.0,18.001,131.2,5220482,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_0_v_10_fric_0100.odb
1020_2a_32_rd_1500_cal_0_v_10_fric_025,0.15,0.0,16.0,025,10.0,18.001,131.2,5220482,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_0_v_10_fric_025.odb
1020_2a_32_rd_1500_cal_0_v_10_fric_050,0.15,0.0,16.0,050,10.0,18.001,131.2,5220482,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_0_v_10_fric_050.odb
