stage,family,backend,split,seed,frac,corrupt_rate,n_train,n_test,epochs,seconds,macro_rmse,macro_nrmse,macro_r2,rmse_normal_only,rmse_sigma_rr,rmse_sigma_tt,rmse_sigma_zz,rmse_tau_rz,nrmse_sigma_rr,nrmse_sigma_tt,nrmse_sigma_zz,nrmse_tau_rz,r2_sigma_rr,r2_sigma_tt,r2_sigma_zz,r2_tau_rz,eq_res_median,bc_sigma_rr,bc_tau_rz,lambda_physics,lambda_bc,learning_rate,n_units,n_layers,eq_r_reduced,eq_z_full,eq_z_reduced,phys_gain,macro_nrmse_global,macro_r2_global,r2_normal_only,r2_normal_only_global,nrmse_sigma_rr_global,nrmse_sigma_tt_global,nrmse_sigma_zz_global,nrmse_tau_rz_global,error
main,mlp,torch,interp:alpha_mid,2,,,1416,340,344,53.2,9.070967028030278,0.33662970708934,0.7552334371098636,11.94140219457982,5.816915315528638,8.059552747069201,21.94773852114162,0.45966152838165525,0.1249288844176705,0.11426680531241776,0.1429792980084228,0.9643438406188488,0.9843927738381556,0.9869430972036937,0.9795569203410184,0.07004095705658686,1552.177204427063,6.014923163653098,0.16975072226809845,0.0,0.0,0.003,96,3,,,,1.0,0.2520179285587192,0.8919361650234635,0.9836309304609557,0.9828278038000776,0.12946920382484872,0.11424442544735551,0.14731776917578715,0.6170403157868852,
main,mlp,torch,interp:alpha_mid,3,,,1416,340,467,86.6,9.446198202117206,0.35405905333212184,0.7319256793168158,12.434739449546797,6.624936298859373,8.59611258717666,22.083169462604356,0.4805744598284294,0.14228261136021306,0.12187404863126276,0.1438615675379376,1.0082179857990738,0.9797556585045177,0.9851467162702242,0.9793038493855272,-0.016503506893005726,1586.7843830466238,4.765106655613657,0.1933616387425028,0.0,0.0,0.003,96,3,,,,1.0,0.2656610051969601,0.8813168658481318,0.9814020747200897,0.9804795921218868,0.14745362128857356,0.12185017884024603,0.14822680972018987,0.6451134109388309,
main,mlp,torch,interp:alpha_mid,4,,,1416,340,504,78.7,8.740642237178767,0.35206183802889557,0.7188638471248001,11.489183432291478,5.825523409662606,7.571572032838113,21.07045485437372,0.49501865184063026,0.1251137589669437,0.10734830759682988,0.13726420336630724,1.0385210821855013,0.9843465473171609,0.988476340856096,0.9811585384742127,-0.07852603814826953,1432.380382497312,4.176452631083406,0.14970112820964507,0.0,0.0,0.003,96,3,,,,1.0,0.2607300852279918,0.8775256144219508,0.9846604755491567,0.9838888988663674,0.12966079731272348,0.1073272827626087,0.14142925940526527,0.6645030014313698,
main,mlp,torch,interp:alpha_mid,0,,,1416,340,778,196.6,9.083400668893692,0.3484941023857999,0.730749529607372,11.95006914236262,5.552773287286247,8.248553940604111,22.0488801991975,0.4833952484869083,0.11925595175041132,0.11694642827205674,0.14363818895128208,1.0141358405694496,0.985778017972103,0.9863235329144083,0.9793680706747955,-0.028471503131818787,1650.6030903614774,5.196998006503734,0.21900865904030628,0.0,0.0,0.003,96,3,,,,1.0,0.25935256388899475,0.8820200458146719,0.9838232071871023,0.9830504559582502,0.12359009845057442,0.11692352358615882,0.14799665307845145,0.6488999804407943,
main,vpinn,torch,matched:alpha_max,4,,,1377,379,589,311.9,7.8549511882727865,0.19296598594650138,0.9413283437306093,10.358724800391593,4.2423884131708265,6.5279831466063225,20.30580284139763,0.3436303519163669,0.09532337885623271,0.09486454952644997,0.1368456340010766,0.4448303814022463,0.9909134534434307,0.9910007172431434,0.9812732724548431,0.8021259317810199,1071.2213918817315,0.5644023597275505,0.025813881217596504,0.3,0.5,0.003,96,3,,,,2.85303,0.19613448362548708,0.9377907876558873,0.9877291477138058,0.9879815396501663,0.09442438481143231,0.09253437595346205,0.13629675663561075,0.46128241710144313,
main,pinn,torch,interp:alpha_mid,2,,,1416,340,368,226.8,8.952036443377029,0.33437421152604696,0.756478380222652,11.783085797731525,5.527697398826142,8.062355014723506,21.759204979644927,0.45888838031353546,0.1187174012298734,0.11430653533001757,0.14175108976326475,0.9627218197810322,0.9859061786452247,0.9869340159808471,0.9799066285509266,0.07316669771360962,1008.0253813199234,1.2806422828645578,0.05435545087399724,0.3,0.5,0.003,96,3,,,,0.1329,0.249842718354753,0.8927529916815256,0.9842489410589995,0.9834903314558533,0.12303197526362279,0.11428414768358408,0.146052292975524,0.6160024574962811,
main,pinn,torch,interp:alpha_mid,0,,,1416,340,496,305.4,8.51800698557111,0.3194306452331229,0.7742715801674868,11.20987308802223,4.878185213587118,7.503853511122604,21.247580539356964,0.4424086782177554,0.10476794033588746,0.10638820728112382,0.13841809473756495,0.9281483385779156,0.9890236786777754,0.9886815493515083,0.9808404310492222,0.13854066159144107,782.2900409445219,0.7971412644326779,0.05783696048991197,0.3,0.5,0.003,96,3,,,,0.22025,0.2378603799036122,0.9009658540615488,0.986181886359502,0.9855191309043039,0.10857554587862805,0.1063673704885255,0.1426181637085642,0.593880439538731,
main,pinn,torch,interp:alpha_mid,1,,,1416,340,670,406.2,8.77961668755969,0.33756894019000605,0.7461607848863859,11.549636241789036,5.197137108068609,8.049695971505255,21.40207564579324,0.4695580248716536,0.11161801502308515,0.11412705782397514,0.1394245584259635,0.9851061294870004,0.9875414187223058,0.9869750146724426,0.9805607925077249,0.029565913643070263,866.8858068135833,1.7335082782357196,0.09714611382090732,0.3,0.5,0.003,96,3,,,,0.17191,0.2509399046610201,0.8889132199011924,0.9850257419674912,0.9843209006946244,0.11567457441815442,0.11410470532932836,0.1436551668789293,0.6303251720176685,
main,pinn,torch,interp:alpha_mid,3,,,1416,340,638,387.8,8.44361574039551,0.3208311070357862,0.7714703320656979,11.109703629868955,4.928011029144366,7.5872300802881965,20.8138697801743,0.44535207197517573,0.10583804076113354,0.10757030441423415,0.13559267106911257,0.9343234118986645,0.9887983091278442,0.9884286296082286,0.9816146275523432,0.12703976197437616,889.6103410749116,1.1676030058613005,0.0952872286180418,0.3,0.5,0.003,96,3,,,,0.12908,0.23869309304177017,0.8998704510708624,0.9862805220961386,0.9856281387486043,0.10968453721169759,0.10754923610055449,0.139707007215207,0.5978315916396216,
main,vpinn,torch,interp:alpha_mid,0,,,1416,340,456,227.7,9.15018228688675,0.3666339641309294,0.6912921900437997,12.027158462592597,5.3194140282125195,8.15920684548441,22.602854514080864,0.5192537597692077,0.11424413529388008,0.11567968215801394,0.1472470736926609,1.0893649653791626,0.986948277550953,0.9866182111358205,0.9783182992889479,-0.18671602780052288,1224.0490474384294,1.1565010470381867,0.06288732898558502,0.3,0.5,0.003,96,3,,,,5.68344,0.27070098109304414,0.8659323898593565,0.9839615959919072,0.9831961176354627,0.1183961363867333,0.11565702557222718,0.15171504347984469,0.6970357189333714,
